X   Y   Z   AngleHorizontal   AngleVertical    dist   reflectivity   lidarTimeNum
-6.870174e+00 -2.279071e-01 1.199853e-01 3.581000e+02 1 6.875000e+00 163 7.1047594700e+02
-5.140115e+00 -1.705152e-01 2.695302e-01 3.581000e+02 3 5.150000e+00 147 7.1047594700e+02
-6.227772e+00 -2.065965e-01 5.451592e-01 3.581000e+02 5 6.255000e+00 133 7.1047594700e+02
-5.242722e+00 -1.739190e-01 6.440795e-01 3.581000e+02 7 5.285000e+00 117 7.1047594700e+02
-4.530997e+00 -1.503087e-01 7.180342e-01 3.581000e+02 9 4.590000e+00 91 7.1047594700e+02
-6.643455e+00 -2.203861e-01 -5.815467e-01 3.581000e+02 -5 6.672500e+00 10 7.1047594700e+02
-4.542435e+00 -1.506881e-01 8.834456e-01 3.581000e+02 11 4.630000e+00 98 7.1047594700e+02
-5.459500e+00 -1.811103e-01 -2.862777e-01 3.581000e+02 -3 5.470000e+00 133 7.1047594700e+02
-4.472334e+00 -1.483626e-01 1.033088e+00 3.581000e+02 13 4.592500e+00 89 7.1047594700e+02
-5.193851e+00 -1.722978e-01 -9.070888e-02 3.581000e+02 -1 5.197500e+00 158 7.1047594700e+02
-8.220337e+00 -2.726966e-01 2.203844e+00 3.581000e+02 15 8.515000e+00 90 7.1047594700e+02
-1.008938e+00 -3.029707e-02 -2.704659e-01 3.582800e+02 -15 1.045000e+00 11 7.1047594700e+02
-6.875853e+00 -2.064728e-01 1.200726e-01 3.582800e+02 1 6.880000e+00 165 7.1047594700e+02
-6.285646e+00 -1.887497e-01 5.501706e-01 3.582800e+02 5 6.312500e+00 133 7.1047594700e+02
-5.302769e+00 -1.592352e-01 6.513916e-01 3.582800e+02 7 5.345000e+00 114 7.1047594700e+02
-4.649916e+00 -1.396309e-01 7.368063e-01 3.582800e+02 9 4.710000e+00 94 7.1047594700e+02
-6.738710e+00 -2.023546e-01 -5.898265e-01 3.582800e+02 -5 6.767500e+00 12 7.1047594700e+02
-4.562510e+00 -1.370062e-01 8.872618e-01 3.582800e+02 11 4.650000e+00 82 7.1047594700e+02
-4.455735e+00 -1.337998e-01 1.029151e+00 3.582800e+02 13 4.575000e+00 97 7.1047594700e+02
-5.184373e+00 -1.556799e-01 -9.053436e-02 3.582800e+02 -1 5.187500e+00 161 7.1047594700e+02
-1.018684e+00 -2.738685e-02 -2.730541e-01 3.584600e+02 -15 1.055000e+00 12 7.1047594700e+02
-6.876468e+00 -1.848707e-01 1.200726e-01 3.584600e+02 1 6.880000e+00 168 7.1047594700e+02
-6.957934e+00 -1.870609e-01 3.647816e-01 3.584600e+02 3 6.970000e+00 149 7.1047594700e+02
-5.958087e+00 -1.601805e-01 7.318254e-01 3.584600e+02 7 6.005000e+00 78 7.1047594700e+02
-4.736723e+00 -1.273447e-01 7.504943e-01 3.584600e+02 9 4.797500e+00 84 7.1047594700e+02
-6.801552e+00 -1.828566e-01 -5.952737e-01 3.584600e+02 -5 6.830000e+00 33 7.1047594700e+02
-6.169301e+00 -1.658589e-01 -3.234362e-01 3.584600e+02 -3 6.180000e+00 144 7.1047594700e+02
-4.456133e+00 -1.198011e-01 1.029151e+00 3.584600e+02 13 4.575000e+00 105 7.1047594700e+02
-6.848982e+00 -1.841318e-01 -1.195926e-01 3.584600e+02 -1 6.852500e+00 161 7.1047594700e+02
