X   Y   Z   AngleHorizontal   AngleVertical    dist   reflectivity   lidarTimeNum
-6.248965e+00 -2.520768e-01 1.091648e-01 3.576900e+02 1 6.255000e+00 121 7.1097554000e+02
-4.657316e+00 -1.878713e-01 2.442781e-01 3.576900e+02 3 4.667500e+00 154 7.1097554000e+02
-5.006787e+00 -2.019686e-01 4.383934e-01 3.576900e+02 5 5.030000e+00 123 7.1097554000e+02
-5.607978e+00 -2.262200e-01 8.889388e-01 3.576900e+02 9 5.682500e+00 93 7.1097554000e+02
-4.663380e+00 -1.881159e-01 -4.083247e-01 3.576900e+02 -5 4.685000e+00 76 7.1097554000e+02
-4.607447e+00 -1.858596e-01 8.963253e-01 3.576900e+02 11 4.697500e+00 109 7.1097554000e+02
-5.041476e+00 -2.033679e-01 -2.644274e-01 3.576900e+02 -3 5.052500e+00 161 7.1097554000e+02
-4.923872e+00 -1.986239e-01 1.137690e+00 3.576900e+02 13 5.057500e+00 82 7.1097554000e+02
-6.073149e+00 -2.449845e-01 1.628619e+00 3.576900e+02 15 6.292500e+00 73 7.1097554000e+02
-9.966293e-01 -3.706728e-02 -2.672307e-01 3.578700e+02 -15 1.032500e+00 9 7.1097554000e+02
-6.826739e+00 -2.539045e-01 1.192436e-01 3.578700e+02 1 6.832500e+00 143 7.1097554000e+02
-5.032285e+00 -1.871640e-01 4.405723e-01 3.578700e+02 5 5.055000e+00 118 7.1097554000e+02
-5.608661e+00 -2.086010e-01 8.889388e-01 3.578700e+02 9 5.682500e+00 96 7.1097554000e+02
-4.656481e+00 -1.731869e-01 -4.076710e-01 3.578700e+02 -5 4.677500e+00 40 7.1097554000e+02
-4.630079e+00 -1.722049e-01 9.006185e-01 3.578700e+02 11 4.720000e+00 119 7.1097554000e+02
-5.039595e+00 -1.874359e-01 -2.642966e-01 3.578700e+02 -3 5.050000e+00 163 7.1097554000e+02
-4.917169e+00 -1.828825e-01 1.136003e+00 3.578700e+02 13 5.050000e+00 86 7.1097554000e+02
-9.895006e-01 -3.368959e-02 -2.652895e-01 3.580500e+02 -15 1.025000e+00 9 7.1097554000e+02
-6.812514e+00 -2.319461e-01 1.189818e-01 3.580500e+02 1 6.817500e+00 145 7.1097554000e+02
-5.252245e+00 -1.788235e-01 2.754180e-01 3.580500e+02 3 5.262500e+00 143 7.1097554000e+02
-4.878823e+00 -1.661096e-01 7.731773e-01 3.580500e+02 9 4.942500e+00 100 7.1097554000e+02
-4.661980e+00 -1.587268e-01 -4.081068e-01 3.580500e+02 -5 4.682500e+00 63 7.1097554000e+02
-4.677197e+00 -1.592449e-01 9.096819e-01 3.580500e+02 11 4.767500e+00 94 7.1097554000e+02
-4.912850e+00 -1.672681e-01 1.134878e+00 3.580500e+02 13 5.045000e+00 89 7.1097554000e+02
-7.213701e+00 -2.456054e-01 1.934025e+00 3.580500e+02 15 7.472500e+00 82 7.1097554000e+02
-9.944289e-01 -3.073000e-02 -2.665836e-01 3.582300e+02 -15 1.030000e+00 11 7.1097554000e+02
-6.800717e+00 -2.101568e-01 1.187636e-01 3.582300e+02 1 6.805000e+00 141 7.1097554000e+02
-5.235313e+00 -1.617825e-01 2.745021e-01 3.582300e+02 3 5.245000e+00 160 7.1097554000e+02
-6.165992e+00 -1.905425e-01 5.397119e-01 3.582300e+02 5 6.192500e+00 119 7.1097554000e+02
-4.874384e+00 -1.506290e-01 7.723952e-01 3.582300e+02 9 4.937500e+00 101 7.1097554000e+02
-4.657477e+00 -1.439261e-01 -4.076710e-01 3.582300e+02 -5 4.677500e+00 31 7.1097554000e+02
-4.726733e+00 -1.460662e-01 9.192223e-01 3.582300e+02 11 4.817500e+00 79 7.1097554000e+02
-4.915786e+00 -1.519084e-01 1.135440e+00 3.582300e+02 13 5.047500e+00 88 7.1097554000e+02
-5.451567e+00 -1.684652e-01 -9.520288e-02 3.582300e+02 -1 5.455000e+00 140 7.1097554000e+02
-7.907158e+00 -2.443483e-01 2.119728e+00 3.582300e+02 15 8.190000e+00 87 7.1097554000e+02
-9.945205e-01 -2.760576e-02 -2.665836e-01 3.584100e+02 -15 1.030000e+00 11 7.1097554000e+02
-6.336594e+00 -1.758903e-01 1.106483e-01 3.584100e+02 1 6.340000e+00 135 7.1097554000e+02
-5.235795e+00 -1.453345e-01 2.745021e-01 3.584100e+02 3 5.245000e+00 157 7.1097554000e+02
-6.166560e+00 -1.711705e-01 5.397119e-01 3.584100e+02 5 6.192500e+00 123 7.1097554000e+02
-4.877302e+00 -1.353835e-01 7.727863e-01 3.584100e+02 9 4.940000e+00 83 7.1097554000e+02
-4.660396e+00 -1.293626e-01 -4.078889e-01 3.584100e+02 -5 4.680000e+00 10 7.1097554000e+02
-5.158431e+00 -1.431870e-01 -2.704461e-01 3.584100e+02 -3 5.167500e+00 123 7.1097554000e+02
-4.908934e+00 -1.362615e-01 1.133753e+00 3.584100e+02 13 5.040000e+00 95 7.1097554000e+02
-5.517034e+00 -1.531411e-01 -9.633728e-02 3.584100e+02 -1 5.520000e+00 157 7.1097554000e+02
-1.011501e+00 -2.489720e-02 -2.711129e-01 3.585900e+02 -15 1.047500e+00 10 7.1097554000e+02
-4.880172e+00 -1.201211e-01 7.731773e-01 3.585900e+02 9 4.942500e+00 82 7.1097554000e+02
-4.660780e+00 -1.147209e-01 -4.078889e-01 3.585900e+02 -5 4.680000e+00 10 7.1097554000e+02
-4.828143e+00 -1.188405e-01 9.387803e-01 3.585900e+02 11 4.920000e+00 105 7.1097554000e+02
-5.183814e+00 -1.275950e-01 -2.717545e-01 3.585900e+02 -3 5.192500e+00 139 7.1097554000e+02
-4.902033e+00 -1.206592e-01 1.132066e+00 3.585900e+02 13 5.032500e+00 97 7.1097554000e+02
-5.524985e+00 -1.359926e-01 -9.646818e-02 3.585900e+02 -1 5.527500e+00 160 7.1097554000e+02
-7.860256e+00 -1.934732e-01 2.106787e+00 3.585900e+02 15 8.140000e+00 84 7.1097554000e+02
-1.021231e+00 -2.192670e-02 -2.737011e-01 3.587700e+02 -15 1.057500e+00 10 7.1097554000e+02
-7.310899e+00 -1.569712e-01 8.978724e-01 3.587700e+02 7 7.367500e+00 141 7.1097554000e+02
-5.038519e+00 -1.081813e-01 7.982069e-01 3.587700e+02 9 5.102500e+00 87 7.1097554000e+02
-4.860388e+00 -1.043567e-01 9.449815e-01 3.587700e+02 11 4.952500e+00 123 7.1097554000e+02
-5.184189e+00 -1.113089e-01 -2.717545e-01 3.587700e+02 -3 5.192500e+00 142 7.1097554000e+02
-4.885340e+00 -1.048924e-01 1.128130e+00 3.587700e+02 13 5.015000e+00 94 7.1097554000e+02
-7.505929e+00 -1.611587e-01 2.011671e+00 3.587700e+02 15 7.772500e+00 89 7.1097554000e+02
-1.038196e+00 -1.902806e-02 -2.782305e-01 3.589500e+02 -15 1.075000e+00 11 7.1097554000e+02
-6.252562e+00 -1.145970e-01 5.471202e-01 3.589500e+02 5 6.277500e+00 95 7.1097554000e+02
-7.311356e+00 -1.340026e-01 8.978724e-01 3.589500e+02 7 7.367500e+00 136 7.1097554000e+02
