X   Y   Z   AngleHorizontal   AngleVertical    dist   reflectivity   lidarTimeNum
-6.627708e+00 -9.601724e-02 3.473799e-01 3.591700e+02 3 6.637500e+00 140 7.1067602400e+02
-7.107103e+00 -1.029624e-01 6.218562e-01 3.591700e+02 5 7.135000e+00 152 7.1067602400e+02
-6.450873e+00 -9.345539e-02 7.921507e-01 3.591700e+02 7 6.500000e+00 121 7.1067602400e+02
-4.849041e+00 -7.024925e-02 7.680932e-01 3.591700e+02 9 4.910000e+00 123 7.1067602400e+02
-5.224493e+00 -7.568852e-02 -4.571319e-01 3.591700e+02 -5 5.245000e+00 15 7.1067602400e+02
-4.814376e+00 -6.974705e-02 9.359181e-01 3.591700e+02 11 4.905000e+00 81 7.1067602400e+02
-6.879836e+00 -9.966987e-02 -3.605947e-01 3.591700e+02 -3 6.890000e+00 132 7.1067602400e+02
-4.610723e+00 -6.679667e-02 1.064581e+00 3.591700e+02 13 4.732500e+00 93 7.1067602400e+02
-6.978205e+00 -1.010950e-01 -1.218178e-01 3.591700e+02 -1 6.980000e+00 156 7.1067602400e+02
-8.228825e+00 -1.192130e-01 2.205138e+00 3.591700e+02 15 8.520000e+00 73 7.1067602400e+02
-1.057621e+00 -1.199884e-02 -2.834069e-01 3.593500e+02 -15 1.095000e+00 13 7.1067602400e+02
-7.088464e+00 -8.041952e-02 1.237376e-01 3.593500e+02 1 7.090000e+00 147 7.1067602400e+02
-6.627977e+00 -7.519524e-02 3.473799e-01 3.593500e+02 3 6.637500e+00 135 7.1067602400e+02
-7.129805e+00 -8.088854e-02 6.238172e-01 3.593500e+02 5 7.157500e+00 154 7.1067602400e+02
-5.257675e+00 -5.964899e-02 6.456028e-01 3.593500e+02 7 5.297500e+00 121 7.1067602400e+02
-4.767759e+00 -5.409083e-02 7.551874e-01 3.593500e+02 9 4.827500e+00 118 7.1067602400e+02
-7.067547e+00 -8.018221e-02 -6.183700e-01 3.593500e+02 -5 7.095000e+00 20 7.1067602400e+02
-4.733592e+00 -5.370321e-02 9.201764e-01 3.593500e+02 11 4.822500e+00 81 7.1067602400e+02
-6.907575e+00 -7.836732e-02 -3.620340e-01 3.593500e+02 -3 6.917500e+00 75 7.1067602400e+02
-4.606038e+00 -5.225609e-02 1.063456e+00 3.593500e+02 13 4.727500e+00 101 7.1067602400e+02
-4.435729e+00 -5.032391e-02 1.188626e+00 3.593500e+02 15 4.592500e+00 90 7.1067602400e+02
-1.072142e+00 -8.795026e-03 -2.872891e-01 3.595300e+02 -15 1.110000e+00 17 7.1067602400e+02
-7.103679e+00 -5.827312e-02 1.239993e-01 3.595300e+02 1 7.105000e+00 163 7.1067602400e+02
-5.339424e+00 -4.380053e-02 4.671548e-01 3.595300e+02 5 5.360000e+00 154 7.1067602400e+02
-5.270243e+00 -4.323302e-02 6.471262e-01 3.595300e+02 7 5.310000e+00 121 7.1067602400e+02
-5.017288e+00 -4.115797e-02 7.946871e-01 3.595300e+02 9 5.080000e+00 85 7.1067602400e+02
-7.075235e+00 -5.803979e-02 -6.190237e-01 3.595300e+02 -5 7.102500e+00 26 7.1067602400e+02
-4.667480e+00 -3.828842e-02 9.072968e-01 3.595300e+02 11 4.755000e+00 123 7.1067602400e+02
-7.010143e+00 -5.750583e-02 -3.673984e-01 3.595300e+02 -3 7.020000e+00 70 7.1067602400e+02
-4.606180e+00 -3.778556e-02 1.063456e+00 3.595300e+02 13 4.727500e+00 97 7.1067602400e+02
-5.349005e+00 -4.387913e-02 -9.337037e-02 3.595300e+02 -1 5.350000e+00 161 7.1067602400e+02
-4.435865e+00 -3.638843e-02 1.188626e+00 3.595300e+02 15 4.592500e+00 76 7.1067602400e+02
-1.079408e+00 -5.463423e-03 -2.892303e-01 3.597100e+02 -15 1.117500e+00 16 7.1067602400e+02
-7.106326e+00 -3.596866e-02 1.240430e-01 3.597100e+02 1 7.107500e+00 165 7.1067602400e+02
-5.030532e+00 -2.546203e-02 2.636424e-01 3.597100e+02 3 5.037500e+00 148 7.1067602400e+02
-5.339535e+00 -2.702605e-02 4.671548e-01 3.597100e+02 5 5.360000e+00 153 7.1067602400e+02
-5.290203e+00 -2.677635e-02 6.495636e-01 3.597100e+02 7 5.330000e+00 124 7.1067602400e+02
-4.734355e+00 -2.396293e-02 -4.142077e-01 3.597100e+02 -5 4.752500e+00 22 7.1067602400e+02
-4.628313e+00 -2.342620e-02 8.996644e-01 3.597100e+02 11 4.715000e+00 118 7.1067602400e+02
-7.052731e+00 -3.569738e-02 -3.696227e-01 3.597100e+02 -3 7.062500e+00 70 7.1067602400e+02
-4.603840e+00 -2.330233e-02 1.062894e+00 3.597100e+02 13 4.725000e+00 85 7.1067602400e+02
-5.311623e+00 -2.688477e-02 -9.271591e-02 3.597100e+02 -1 5.312500e+00 155 7.1067602400e+02
-1.091494e+00 -2.095521e-03 -2.924655e-01 3.598900e+02 -15 1.130000e+00 17 7.1067602400e+02
-7.113903e+00 -1.365773e-02 1.241739e-01 3.598900e+02 1 7.115000e+00 168 7.1067602400e+02
-5.030587e+00 -9.658046e-03 2.636424e-01 3.598900e+02 3 5.037500e+00 151 7.1067602400e+02
-6.317545e+00 -1.212883e-02 7.756984e-01 3.598900e+02 7 6.365000e+00 120 7.1067602400e+02
-4.676696e+00 -8.978622e-03 7.407172e-01 3.598900e+02 9 4.735000e+00 107 7.1067602400e+02
-4.734407e+00 -9.089419e-03 -4.142077e-01 3.598900e+02 -5 4.752500e+00 22 7.1067602400e+02
-5.030830e+00 -9.658512e-03 9.778961e-01 3.598900e+02 11 5.125000e+00 102 7.1067602400e+02
-7.102739e+00 -1.363630e-02 -3.722395e-01 3.598900e+02 -3 7.112500e+00 74 7.1067602400e+02
-4.589275e+00 -8.810785e-03 1.059519e+00 3.598900e+02 13 4.710000e+00 85 7.1067602400e+02
-5.304182e+00 -1.018331e-02 -9.258502e-02 3.598900e+02 -1 5.305000e+00 157 7.1067602400e+02
-7.365171e+00 -1.414013e-02 1.973495e+00 3.598900e+02 15 7.625000e+00 109 7.1067602400e+02
-1.093908e+00 2.672926e-03 -2.931126e-01 1.400000e-01 -15 1.132500e+00 16 7.1067602400e+02
-7.123894e+00 1.740699e-02 1.243484e-01 1.400000e-01 1 7.125000e+00 168 7.1067602400e+02
-6.632670e+00 1.620670e-02 8.143919e-01 1.400000e-01 7 6.682500e+00 123 7.1067602400e+02
-4.666813e+00 1.140320e-02 7.391528e-01 1.400000e-01 9 4.725000e+00 122 7.1067602400e+02
-7.152657e+00 1.747727e-02 -6.257782e-01 1.400000e-01 -5 7.180000e+00 13 7.1067602400e+02
-5.045549e+00 1.232863e-02 9.807582e-01 1.400000e-01 11 5.140000e+00 109 7.1067602400e+02
-7.127697e+00 1.741628e-02 -3.735479e-01 1.400000e-01 -3 7.137500e+00 81 7.1067602400e+02
-4.584397e+00 1.120182e-02 1.058395e+00 1.400000e-01 13 4.705000e+00 74 7.1067602400e+02
-5.296677e+00 1.294225e-02 -9.245412e-02 1.400000e-01 -1 5.297500e+00 158 7.1067602400e+02
-7.365162e+00 1.799652e-02 1.973495e+00 1.400000e-01 15 7.625000e+00 76 7.1067602400e+02
-1.098730e+00 4.794145e-03 -2.944067e-01 2.500000e-01 -15 1.137500e+00 20 7.1067602400e+02
-7.143844e+00 3.117110e-02 1.246974e-01 2.500000e-01 1 7.145000e+00 170 7.1067602400e+02
-5.270217e+00 2.299581e-02 2.762030e-01 2.500000e-01 3 5.277500e+00 149 7.1067602400e+02
-6.369604e+00 2.779282e-02 7.820965e-01 2.500000e-01 7 6.417500e+00 122 7.1067602400e+02
-4.661845e+00 2.034126e-02 7.383707e-01 2.500000e-01 9 4.720000e+00 118 7.1067602400e+02
-7.180005e+00 3.132888e-02 -6.281750e-01 2.500000e-01 -5 7.207500e+00 11 7.1067602400e+02
-5.057786e+00 2.206889e-02 9.831433e-01 2.500000e-01 11 5.152500e+00 103 7.1067602400e+02
-7.165099e+00 3.126384e-02 -3.755105e-01 2.500000e-01 -3 7.175000e+00 80 7.1067602400e+02
-4.560008e+00 1.989692e-02 1.052771e+00 2.500000e-01 13 4.680000e+00 73 7.1067602400e+02
-7.223831e+00 3.152011e-02 -1.260936e-01 2.500000e-01 -1 7.225000e+00 161 7.1067602400e+02
-1.103539e+00 8.282124e-03 -2.957008e-01 4.300000e-01 -15 1.142500e+00 22 7.1067602400e+02
-7.173705e+00 5.383906e-02 1.252210e-01 4.300000e-01 1 7.175000e+00 170 7.1067602400e+02
-5.270119e+00 3.955254e-02 2.762030e-01 4.300000e-01 3 5.277500e+00 149 7.1067602400e+02
-5.272212e+00 3.956825e-02 4.612718e-01 4.300000e-01 5 5.292500e+00 133 7.1067602400e+02
-5.836007e+00 4.379956e-02 7.165917e-01 4.300000e-01 7 5.880000e+00 118 7.1067602400e+02
-4.646943e+00 3.487557e-02 7.360242e-01 4.300000e-01 9 4.705000e+00 120 7.1067602400e+02
-7.212246e+00 5.412832e-02 -6.310076e-01 4.300000e-01 -5 7.240000e+00 13 7.1067602400e+02
-7.199916e+00 5.403578e-02 -3.773422e-01 4.300000e-01 -3 7.210000e+00 76 7.1067602400e+02
-4.547744e+00 3.413108e-02 1.049959e+00 4.300000e-01 13 4.667500e+00 93 7.1067602400e+02
-7.233694e+00 5.428929e-02 -1.262682e-01 4.300000e-01 -1 7.235000e+00 163 7.1067602400e+02
-1.108337e+00 1.180037e-02 -2.969949e-01 6.100000e-01 -15 1.147500e+00 25 7.1067602400e+02
-7.205994e+00 7.672157e-02 1.257882e-01 6.100000e-01 1 7.207500e+00 170 7.1067602400e+02
-5.262479e+00 5.602915e-02 2.758105e-01 6.100000e-01 3 5.270000e+00 152 7.1067602400e+02
-5.269571e+00 5.610466e-02 4.610539e-01 6.100000e-01 5 5.290000e+00 126 7.1067602400e+02
-5.835841e+00 6.213367e-02 7.165917e-01 6.100000e-01 7 5.880000e+00 118 7.1067602400e+02
