X   Y   Z   AngleHorizontal   AngleVertical    dist   reflectivity   lidarTimeNum
-5.202530e+00 -3.236692e-01 -4.560424e-01 3.564400e+02 -5 5.232500e+00 63 7.1057538600e+02
-6.216932e+00 -3.867790e-01 -3.264455e-01 3.564400e+02 -3 6.237500e+00 155 7.1057538600e+02
-4.648501e+00 -2.892010e-01 1.075266e+00 3.564400e+02 13 4.780000e+00 91 7.1057538600e+02
-1.048617e+00 -6.193201e-02 -2.814657e-01 3.566200e+02 -15 1.087500e+00 19 7.1057538600e+02
-4.823140e+00 -2.848578e-01 4.227054e-01 3.566200e+02 5 4.850000e+00 118 7.1057538600e+02
-4.604481e+00 -2.719437e-01 7.305490e-01 3.566200e+02 9 4.670000e+00 93 7.1057538600e+02
-5.220924e+00 -3.083512e-01 -4.575676e-01 3.566200e+02 -5 5.250000e+00 79 7.1057538600e+02
-5.069198e+00 -2.993901e-01 -2.661283e-01 3.566200e+02 -3 5.085000e+00 157 7.1057538600e+02
-4.644524e+00 -2.743086e-01 1.074141e+00 3.566200e+02 13 4.775000e+00 84 7.1057538600e+02
-4.413834e+00 -2.606839e-01 1.184744e+00 3.566200e+02 15 4.577500e+00 71 7.1057538600e+02
-1.046395e+00 -5.850259e-02 -2.808187e-01 3.568000e+02 -15 1.085000e+00 17 7.1057538600e+02
-4.769305e+00 -2.666456e-01 4.179118e-01 3.568000e+02 5 4.795000e+00 117 7.1057538600e+02
-4.703927e+00 -2.629904e-01 7.461924e-01 3.568000e+02 9 4.770000e+00 97 7.1057538600e+02
-4.794172e+00 -2.680358e-01 -4.200907e-01 3.568000e+02 -5 4.820000e+00 113 7.1057538600e+02
-5.060143e+00 -2.829059e-01 -2.656050e-01 3.568000e+02 -3 5.075000e+00 160 7.1057538600e+02
-4.640498e+00 -2.594441e-01 1.073017e+00 3.568000e+02 13 4.770000e+00 73 7.1057538600e+02
-4.993939e+00 -2.792045e-01 -8.730566e-02 3.568000e+02 -1 5.002500e+00 133 7.1057538600e+02
-4.419453e+00 -2.470858e-01 1.186038e+00 3.568000e+02 15 4.582500e+00 75 7.1057538600e+02
-4.548774e+00 -2.399834e-01 3.985196e-01 3.569800e+02 5 4.572500e+00 90 7.1057538600e+02
-4.672675e+00 -2.465201e-01 7.411083e-01 3.569800e+02 9 4.737500e+00 99 7.1057538600e+02
-4.794990e+00 -2.529732e-01 -4.200907e-01 3.569800e+02 -5 4.820000e+00 63 7.1057538600e+02
-5.056020e+00 -2.667446e-01 -2.653433e-01 3.569800e+02 -3 5.070000e+00 162 7.1057538600e+02
-4.636425e+00 -2.446076e-01 1.071892e+00 3.569800e+02 13 4.765000e+00 78 7.1057538600e+02
-4.987303e+00 -2.631192e-01 -8.717477e-02 3.569800e+02 -1 4.995000e+00 152 7.1057538600e+02
-4.685301e+00 -2.324283e-01 2.458482e-01 3.571600e+02 3 4.697500e+00 139 7.1057538600e+02
-4.522144e+00 -2.243344e-01 3.961229e-01 3.571600e+02 5 4.545000e+00 121 7.1057538600e+02
-4.636434e+00 -2.300041e-01 7.352420e-01 3.571600e+02 9 4.700000e+00 92 7.1057538600e+02
-5.059327e+00 -2.509830e-01 -2.654741e-01 3.571600e+02 -3 5.072500e+00 165 7.1057538600e+02
-4.644470e+00 -2.304028e-01 1.073579e+00 3.571600e+02 13 4.772500e+00 80 7.1057538600e+02
-9.485801e+00 -4.705715e-01 2.544838e+00 3.571600e+02 15 9.832500e+00 77 7.1057538600e+02
-6.631835e+00 -3.081094e-01 1.158840e-01 3.573400e+02 1 6.640000e+00 148 7.1057538600e+02
-4.686008e+00 -2.177079e-01 2.458482e-01 3.573400e+02 3 4.697500e+00 132 7.1057538600e+02
-5.019351e+00 -2.331947e-01 6.169636e-01 3.573400e+02 7 5.062500e+00 123 7.1057538600e+02
-5.473167e+00 -2.542787e-01 -4.793566e-01 3.573400e+02 -5 5.500000e+00 17 7.1057538600e+02
-4.652471e+00 -2.161498e-01 1.075266e+00 3.573400e+02 13 4.780000e+00 77 7.1057538600e+02
-6.107481e+00 -2.837483e-01 -1.067215e-01 3.573400e+02 -1 6.115000e+00 154 7.1057538600e+02
-9.487232e+00 -4.407687e-01 2.544838e+00 3.573400e+02 15 9.832500e+00 75 7.1057538600e+02
