X   Y   Z   AngleHorizontal   AngleVertical    dist   reflectivity   lidarTimeNum
-4.477373e+00 -2.456209e-01 7.102125e-01 3.568600e+02 9 4.540000e+00 97 7.1077546300e+02
-4.680059e+00 -2.567400e-01 -4.100678e-01 3.568600e+02 -5 4.705000e+00 27 7.1077546300e+02
-4.513607e+00 -2.476086e-01 8.786754e-01 3.568600e+02 11 4.605000e+00 105 7.1077546300e+02
-5.010580e+00 -2.748717e-01 -2.629882e-01 3.568600e+02 -3 5.025000e+00 140 7.1077546300e+02
-4.781839e+00 -2.623234e-01 1.105634e+00 3.568600e+02 13 4.915000e+00 86 7.1077546300e+02
-6.030013e+00 -3.307961e-01 -1.054125e-01 3.568600e+02 -1 6.040000e+00 134 7.1077546300e+02
-4.545092e+00 -2.493359e-01 1.219685e+00 3.568600e+02 15 4.712500e+00 63 7.1077546300e+02
-1.044220e+00 -5.399426e-02 -2.801716e-01 3.570400e+02 -15 1.082500e+00 14 7.1077546300e+02
-6.270666e+00 -3.242421e-01 1.096011e-01 3.570400e+02 1 6.280000e+00 137 7.1077546300e+02
-4.483054e+00 -2.318087e-01 7.109946e-01 3.570400e+02 9 4.545000e+00 95 7.1077546300e+02
-4.983993e+00 -2.577111e-01 -2.615489e-01 3.570400e+02 -3 4.997500e+00 135 7.1077546300e+02
-4.777774e+00 -2.470480e-01 1.104510e+00 3.570400e+02 13 4.910000e+00 82 7.1077546300e+02
-5.047487e+00 -2.609942e-01 -8.822191e-02 3.570400e+02 -1 5.055000e+00 137 7.1077546300e+02
-1.034736e+00 -5.024500e-02 -2.775834e-01 3.572200e+02 -15 1.072500e+00 15 7.1077546300e+02
-6.271654e+00 -3.045406e-01 1.096011e-01 3.572200e+02 1 6.280000e+00 131 7.1077546300e+02
-4.952724e+00 -2.404957e-01 4.338177e-01 3.572200e+02 5 4.977500e+00 108 7.1077546300e+02
-5.573872e+00 -2.706575e-01 8.838547e-01 3.572200e+02 9 5.650000e+00 78 7.1077546300e+02
-4.701480e+00 -2.282957e-01 -4.118109e-01 3.572200e+02 -5 4.725000e+00 63 7.1077546300e+02
-5.473530e+00 -2.657851e-01 -2.871936e-01 3.572200e+02 -3 5.487500e+00 154 7.1077546300e+02
