X   Y   Z   AngleHorizontal   AngleVertical    dist   reflectivity   lidarTimeNum
-7.173474e+00 -7.887964e-02 1.252210e-01 3.593700e+02 1 7.175000e+00 154 7.1087610100e+02
-7.104820e+00 -7.812472e-02 3.723703e-01 3.593700e+02 3 7.115000e+00 151 7.1087610100e+02
-5.309397e+00 -5.838222e-02 4.645401e-01 3.593700e+02 5 5.330000e+00 120 7.1087610100e+02
-6.101309e+00 -6.709010e-02 7.491918e-01 3.593700e+02 7 6.147500e+00 121 7.1087610100e+02
-4.666890e+00 -5.131720e-02 -4.083247e-01 3.593700e+02 -5 4.685000e+00 63 7.1087610100e+02
-4.875938e+00 -5.361590e-02 9.478437e-01 3.593700e+02 11 4.967500e+00 97 7.1087610100e+02
-6.967516e+00 -7.661493e-02 -3.651741e-01 3.593700e+02 -3 6.977500e+00 63 7.1087610100e+02
-4.732716e+00 -5.204103e-02 1.092700e+00 3.593700e+02 13 4.857500e+00 103 7.1087610100e+02
-5.463837e+00 -6.008045e-02 -9.537740e-02 3.593700e+02 -1 5.465000e+00 152 7.1087610100e+02
-8.323363e+00 -9.152384e-02 2.230373e+00 3.593700e+02 15 8.617500e+00 91 7.1087610100e+02
-1.072145e+00 -8.420777e-03 -2.872891e-01 3.595500e+02 -15 1.110000e+00 16 7.1087610100e+02
-7.176185e+00 -5.636279e-02 1.252646e-01 3.595500e+02 1 7.177500e+00 157 7.1087610100e+02
-7.097541e+00 -5.574510e-02 3.719778e-01 3.595500e+02 3 7.107500e+00 154 7.1087610100e+02
-5.339439e+00 -4.193672e-02 4.671548e-01 3.595500e+02 5 5.360000e+00 117 7.1087610100e+02
-4.669519e+00 -3.667507e-02 -4.085425e-01 3.595500e+02 -5 4.687500e+00 43 7.1087610100e+02
-4.900623e+00 -3.849019e-02 9.526139e-01 3.595500e+02 11 4.992500e+00 92 7.1087610100e+02
-4.742600e+00 -3.724906e-02 1.094949e+00 3.595500e+02 13 4.867500e+00 101 7.1087610100e+02
-7.106198e+00 -5.581310e-02 -1.240430e-01 3.595500e+02 -1 7.107500e+00 154 7.1087610100e+02
-1.076995e+00 -5.075259e-03 -2.885832e-01 3.597300e+02 -15 1.115000e+00 17 7.1087610100e+02
-6.321255e+00 -2.978843e-02 3.312866e-01 3.597300e+02 3 6.330000e+00 156 7.1087610100e+02
-5.310063e+00 -2.502327e-02 6.520010e-01 3.597300e+02 7 5.350000e+00 118 7.1087610100e+02
-4.674592e+00 -2.202866e-02 -4.089783e-01 3.597300e+02 -5 4.692500e+00 52 7.1087610100e+02
-4.856547e+00 -2.288611e-02 9.440275e-01 3.597300e+02 11 4.947500e+00 98 7.1087610100e+02
-7.142618e+00 -3.365905e-02 -3.743329e-01 3.597300e+02 -3 7.152500e+00 72 7.1087610100e+02
-4.745130e+00 -2.236106e-02 1.095512e+00 3.597300e+02 13 4.870000e+00 100 7.1087610100e+02
-7.151331e+00 -3.370010e-02 -1.248283e-01 3.597300e+02 -1 7.152500e+00 157 7.1087610100e+02
-1.081836e+00 -1.321713e-03 -2.898773e-01 3.599300e+02 -15 1.120000e+00 18 7.1087610100e+02
-7.191399e+00 -8.785956e-03 1.255264e-01 3.599300e+02 1 7.192500e+00 152 7.1087610100e+02
-6.308837e+00 -7.707703e-03 3.306324e-01 3.599300e+02 3 6.317500e+00 169 7.1087610100e+02
-5.592993e+00 -6.833134e-03 6.867338e-01 3.599300e+02 7 5.635000e+00 118 7.1087610100e+02
-4.677131e+00 -5.714196e-03 -4.091962e-01 3.599300e+02 -5 4.695000e+00 10 7.1087610100e+02
-4.797699e+00 -5.861498e-03 9.325790e-01 3.599300e+02 11 4.887500e+00 123 7.1087610100e+02
